M,N,K,aclnn,ours
2176,512,128,12.3398,11.4853
640,640,640,13.307,13.7254
128,3328,1024,13.5727,14.9642
384,2560,128,13.7031,13.3816
768,3456,128,14.333,17.7767
768,4608,128,14.9698,17.3051
4992,256,256,15.0798,13.667
2304,128,896,15.759,13.6204
3712,384,256,15.9928,15.2522
5120,128,1024,16.143,16.0973
4992,256,512,16.3709,16.0244
3456,1280,128,16.4742,19.4777
256,896,1536,16.7649,15.4647
1280,384,640,16.768,15.8521
4224,384,256,16.7687,15.107
128,640,2304,16.9848,20.2562
3968,128,1152,17.4142,15.4297
640,7040,128,17.5215,17.7891
5120,256,768,18.217,18.7884
2688,2048,128,18.219,25.0221
128,512,2816,18.3067,20.359
256,4608,768,18.3355,19.1696
640,256,4096,18.674,20.2396
896,128,4992,19.8105,21.947
512,128,5120,19.8435,20.7998
256,2560,1408,19.9137,21.7626
6272,896,128,20.3697,19.3508
1152,256,2688,20.4091,18.6222
1920,128,3712,20.8939,17.996
512,2048,1280,21.6277,22.9454
256,384,5632,21.7245,23.7673
1024,768,1280,22.111,18.5827
384,512,3456,22.2224,18.726
7424,128,1664,22.4176,23.3656
4864,128,2176,22.4549,20.9141
7040,256,640,22.6116,21.4447
384,7424,512,23.4463,24.4758
1152,1920,512,23.4661,20.795
128,6400,1408,23.6131,28.9007
512,4992,640,23.8437,26.1411
768,1152,1152,23.8941,20.2359
640,128,6528,23.9079,25.2706
1408,3200,256,24.1087,20.0232
7296,1536,128,24.2135,34.3014
4224,128,2560,24.3302,22.315
1280,384,2688,24.3549,26.2421
4096,640,384,24.4009,19.225
2176,128,5376,24.4468,22.233
256,2688,1152,25.0121,21.2977
6272,384,512,25.1229,21.785
1024,2560,768,25.1556,28.2558
5120,128,2816,25.5978,24.8616
1408,384,3328,25.7083,30.3911
1280,1536,896,25.779,26.409
128,5632,1792,26.207,36.1943
2432,512,1408,26.4066,26.9333
512,6144,640,26.8098,31.6717
1664,384,2048,27.2869,21.5702
256,640,7168,27.4489,30.0151
1152,256,4608,27.4943,29.6555
1152,4736,256,27.7579,23.6786
5120,896,384,27.8276,37.2454
1024,4864,384,27.9291,29.7506
1280,1792,896,28.1812,30.5966
7680,128,2176,28.2247,25.9598
512,640,5888,28.5823,26.4508
4992,1920,128,28.6916,35.2034
640,3072,1024,28.8671,28.1513
512,2560,2048,28.9797,33.6044
1536,7552,128,29.0858,28.9723
512,896,3968,29.1536,33.6472
256,3200,1408,29.1653,27.7696
1152,4096,512,29.4073,33.5669
1792,1920,512,29.8139,26.9668
640,640,4736,30.1757,37.7731
6656,512,640,30.5045,34.5855
1024,4864,512,31.3468,34.0378
128,1920,7680,32.2217,33.2341
1792,1536,1024,32.7176,39.0913
6272,2304,128,33.1458,53.535
3456,768,768,33.28,28.2488
6400,384,896,33.319,32.3885
1280,4096,384,33.602,29.9283
6528,256,1792,35.2641,40.7899
3200,896,1024,35.3272,36.7791
1536,2176,640,35.5505,32.4995
1408,256,5376,35.7939,38.5029
2688,1920,384,36.4856,30.4078
7808,384,896,36.5454,38.4081
640,4096,1408,37.0526,48.0174
128,3456,5888,37.7589,42.9726
384,1664,3840,38.5639,32.0723
384,2048,3456,39.1579,41.7405
7040,768,512,39.4718,45.5404
768,1408,2944,39.5191,45.4306
2816,1024,1280,40.4941,47.5472
3072,1280,896,40.7398,44.6197
1792,256,6784,40.7981,54.8788
6016,128,3840,40.9588,40.5826
384,5376,1408,41.4073,40.5149
1024,896,3200,41.7745,39.4133
1024,4736,768,42.1678,44.4409
128,2688,6912,42.3748,47.8848
6400,2688,128,43.2952,63.2426
6144,2944,128,43.3438,68.2044
3328,640,2048,43.613,52.0905
256,1536,5632,43.7646,41.776
768,1152,4352,44.0518,49.8303
256,4480,3584,44.2686,52.2183
1024,2176,1792,44.4611,46.9644
896,2944,1536,44.4955,47.0723
1792,4480,512,44.6018,50.105
5248,128,3968,44.7939,37.619
2944,2432,384,44.925,37.2308
1152,512,7808,45.2195,60.5715
3712,384,2816,45.452,50.31
5760,1024,640,46.115,50.2255
2560,2432,768,46.5048,54.7599
2432,2560,640,46.5891,50.744
4864,128,6784,46.5916,48.6246
896,512,6400,46.7531,47.4289
5760,128,4736,48.0304,49.751
3968,128,6784,48.3243,46.4292
1024,7680,640,48.3956,63.4706
3840,256,4096,48.6829,49.4346
3200,2560,512,48.8179,50.3106
5760,640,1280,49.1728,57.4306
6400,384,1408,49.2032,46.4019
3200,2048,640,49.2205,54.6893
1664,5248,512,49.6094,53.8471
2304,640,3328,49.7821,61.639
3840,6528,128,49.9476,63.3431
5120,512,2048,50.1359,62.4687
1280,5504,768,50.2216,63.931
2432,5248,384,50.2598,60.5556
512,1408,5376,50.6996,56.4583
640,2048,4224,51.0559,66.2051
4352,256,4224,51.081,65.0011
640,2816,2688,51.0906,61.0075
5760,1280,512,51.3641,46.3535
